,Unnamed: 0,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,building_age,prop_type_1,prop_type_2,prop_type_3,prop_type_4,prop_type_5,prop_type_6,prop_type_7,PrimaryPropertyType_0,PrimaryPropertyType_1,PrimaryPropertyType_2,PrimaryPropertyType_3,PrimaryPropertyType_4,Neighborhood_0,Neighborhood_1,Neighborhood_2,Neighborhood_3,LargestPropertyUseType_0,LargestPropertyUseType_1,LargestPropertyUseType_2,LargestPropertyUseType_3,LargestPropertyUseType_4,LargestPropertyUseType_5,SecondLargestPropertyUseType_0,SecondLargestPropertyUseType_1,SecondLargestPropertyUseType_2,SecondLargestPropertyUseType_3,SecondLargestPropertyUseType_4,SecondLargestPropertyUseType_5,ThirdLargestPropertyUseType_0,ThirdLargestPropertyUseType_1,ThirdLargestPropertyUseType_2,ThirdLargestPropertyUseType_3,ThirdLargestPropertyUseType_4,ThirdLargestPropertyUseType_5,electricity_binary,natural_gas_binary,steam_binary,ENERGYSTARScore,TotalGHGEmissions,SiteEnergyUse(kBtu)
59,59,1,3,64015,0,64015,30000.0,15000.0,9015.0,9,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,21.0,49.58,3242077.75
60,60,1,3,54224,0,54224,47012.0,0.0,0.0,52,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,75.0,231.53,7265178.0
61,61,1,4,124342,0,124342,122000.0,0.0,0.0,51,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,76.0,66.3,8765978.0
62,62,1,3,55442,0,55442,28636.0,15385.0,8644.0,20,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,72.0,83.7,3191228.25
63,63,1,5,84870,0,84870,85521.0,0.0,0.0,106,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,75.0,51.11,1381590.125
64,64,1,4,114297,0,114297,114297.0,0.0,0.0,112,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,61.0,69.44,2100097.75
65,65,1,1,234144,0,234144,234144.0,0.0,0.0,79,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,87.0,297.43,6744317.0
66,66,1,1,64984,0,64984,65425.0,0.0,0.0,50,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,72.0,35.78,2944296.25
67,67,1,3,56000,0,56000,56000.0,0.0,0.0,43,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,75.0,59.34,1851260.5
68,68,1,2,52088,0,52088,52088.0,0.0,0.0,47,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,75.0,48.99,1377519.5
69,69,1,1,50000,0,50000,43000.0,0.0,0.0,116,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,75.0,225.69,7548807.0
70,70,1,2,50292,0,50292,42345.0,5000.0,4730.0,90,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,75.0,3.0,430473.6875
71,71,1,4,64893,0,64893,64893.0,0.0,0.0,48,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,70.0,208.26,6197825.0
72,72,1,3,44558,0,44558,34416.0,7672.0,2470.0,116,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,78.0,28.27,1677002.25
73,73,1,2,58640,0,58640,40831.0,16735.0,11533.0,51,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,75.0,27.39,3928695.25
74,74,0,4,79600,0,79600,79600.0,0.0,0.0,100,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,34.0,16.81,2411402.25
75,75,1,6,419848,335109,84739,335109.0,65000.0,13567.0,8,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0,75.0,162.41,9134963.0
